htg_pl_x,htg_pl_y,htg_fl_x,htg_fl_y,clg_pl_x,clg_pl_y,clg_fl_x,clg_fl_y
2.625,2512.457143,1.3125,3179.257143,11.8125,1655.142857,17.8125,2893.485714
6.875,2512.457143,3.75,3179.257143,13.8125,1655.142857,15.5625,2798.228571
5.9375,2607.714286,2.375,3369.771429,12.625,1589.077419,15.9375,2798.228571
5,2607.714286,6.875,3560.285714,11.5,1655.142857,16.3125,2798.228571
3.5,2417.2,5.25,3465.028571,14,988.3428571,15.0625,2798.228571
5,2417.2,5.5,2036.171429,14.125,1750.4,13.4375,2702.971429
5.875,2417.2,4.4375,1464.628571,14.25,1655.142857,16.9375,2798.228571
7,2417.2,4.75,3465.028571,11.4375,1655.142857,17.8125,2893.485714
6.875,2512.457143,5.9375,1464.628571,13.0625,1655.142857,18.0625,2798.228571
5.375,2417.2,9.8125,3941.314286,11.4375,1559.885714,17.3125,2893.485714
5.375,2512.457143,5.3125,1369.371429,12.9375,1655.142857,13.875,2702.971429
8.0625,2607.714286,4.5625,3369.771429,15.6875,1750.4,13.0625,2798.228571
2.6875,2417.2,5.5625,3465.028571,14.125,1750.4,17.5625,2893.485714
7.5625,2417.2,6.0625,3560.285714,12.375,1655.142857,16.625,2893.485714
3.8125,2417.2,7.4375,512.0571429,13.125,1685.870968,18.625,2893.485714
5.1875,2512.457143,2.9375,3274.514286,14.25,1708.725,14.25,2702.971429
3.8125,2512.457143,14.1875,2131.428571,11.1875,1655.142857,15.375,2798.228571
4.0625,2512.457143,3.8125,1940.914286,13.375,1750.4,17.4375,2893.485714
5.125,2417.2,5,3369.771429,12.25,1655.142857,12.8125,2607.714286
5.375,2321.942857,8.5625,1369.371429,14.25,1750.4,15.875,2798.228571
4.3125,2512.457143,7.5,3846.057143,14.8125,1750.4,17.0625,2798.228571
9,2417.2,1.625,3179.257143,14.875,702.5714286,14.5625,2702.971429
5.1875,2512.457143,3.0625,3465.028571,13,1655.142857,18.0625,2893.485714
7.9375,2607.714286,5.125,3369.771429,12.625,1559.885714,14.1875,2798.228571
6.5625,2512.457143,4,1083.6,18.0625,1845.657143,12,2702.971429
4.5625,2607.714286,6.25,3655.542857,14.25,1369.371429,14.4375,2653.806452
8.5625,2607.714286,6.3125,2036.171429,15.8125,1845.657143,15.625,2798.228571
8.875,2702.971429,3.375,3369.771429,9.75,1559.885714,13.875,2702.971429
5.1875,2607.714286,2.6875,3369.771429,14.5625,1750.4,14.9375,2798.228571
7.9375,2607.714286,5.4375,1274.114286,12.875,1655.142857,18.0625,2893.485714
7,2321.942857,6.5625,2131.428571,13.125,1655.142857,15.5,2702.971429
3.0625,2417.2,7.9375,1965.827692,13.8125,1750.4,16.9375,2798.228571
4.9375,2512.457143,5.375,2187.9875,13.6875,1750.4,16.5,2798.228571
2.3125,2417.2,4.125,893.0857143,11.625,1655.142857,17.1875,2893.485714
4.6875,2512.457143,6.8125,1845.657143,14.1875,1750.4,11.5625,2607.714286
7.3125,2512.457143,8.1875,2750.6,16.0625,1845.657143,16.3125,2798.228571
8.6875,2417.2,0.875,3274.514286,13.9375,1750.4,17.8125,2893.485714
6.1875,2417.2,0.9375,3274.514286,16.125,1750.4,16.5,2798.228571
4.4375,2417.2,10.125,2201.194366,15.625,1750.4,16.8125,2893.485714
4.25,2512.457143,2.75,3369.771429,14.75,1750.4,17.625,2893.485714
6.1875,2512.457143,5.125,2036.171429,14.25,1750.4,18.625,2893.485714
5.6875,2321.942857,4.375,3560.285714,13.9375,1750.4,16.3125,5322.542857
2.75,2417.2,3.125,4722.422857,13.25,1750.4,16.875,2798.228571
5.3125,2512.457143,5.3125,1845.657143,14.5625,1845.657143,14.6875,2702.971429
5.5625,2512.457143,3.0625,3465.028571,15,1750.4,18,2893.485714
4.4375,2607.714286,6.4375,797.8285714,13.375,1655.142857,16.25,2702.971429
4.875,2321.942857,2.1875,3274.514286,15.125,1750.4,13.4375,2702.971429
4.8125,2417.2,5.3125,3560.285714,14,1750.4,16.9375,2798.228571
3.1875,2396.683077,3.625,3369.771429,14.125,1750.4,12.5,2607.714286
4.4375,2417.2,6.9375,3846.057143,12.5,1655.142857,10.4375,2607.714286
1.25,2365.907692,3.0625,3274.514286,14.375,1655.142857,11.875,2607.714286
4.25,2512.457143,3.1875,3274.514286,14,1655.142857,15.5,2798.228571
7.1875,2512.457143,6,893.0857143,16.5625,1750.4,17.625,2798.228571
4,2417.2,4.0625,3465.028571,12,1655.142857,10.5,2607.714286
7.75,2512.457143,4.375,3274.514286,13.8125,1655.142857,17,2893.485714
4.9375,2417.2,6.0625,893.0857143,13,1655.142857,13.375,2702.971429
1.3125,2417.2,5.9375,3560.285714,12.5,1655.142857,14.625,2702.971429
5.375,2607.714286,3.6875,3369.771429,14.0625,1750.4,13.9375,2704.436923
4.3125,2417.2,3.5625,1940.914286,14.9375,1750.4,17.125,2798.228571
5.3125,2607.714286,3.3125,3274.514286,11.6875,1655.142857,13.4375,2642.886154
4.625,2417.2,5.5,3465.028571,14.1875,1750.4,18.25,2798.228571
3.1875,2417.2,4.625,2036.171429,10.0625,1559.885714,13.5,2702.971429
6.5,2557.012903,2.25,3274.514286,16,1104.116923,15,2702.971429
3.9375,2417.2,4.5625,3465.028571,11.25,1655.142857,14.375,2750.6
7.1875,2512.457143,3.9375,3369.771429,14.3125,1655.142857,18.8125,2893.485714
6.625,2417.2,3.375,3274.514286,14.0625,1655.142857,15.5,2798.228571
5.125,2512.457143,4.5625,1369.371429,11.25,1655.142857,15.375,2798.228571
5.375,2321.942857,1.125,3274.514286,13.4375,1655.142857,14.5625,2702.971429
5.1875,2512.457143,8.8125,1750.4,14,1750.4,16.75,2750.6
6,2512.457143,3.5,3369.771429,11.625,1559.885714,15.5,2702.971429
9.3125,2512.457143,5.5625,1178.857143,14.8125,1655.142857,13.8125,2702.971429
7.0625,2321.942857,2,3274.514286,15.0625,1750.4,17.5625,2798.228571
6.3125,2512.457143,1.5625,3227.618462,18.25,1845.657143,15,2702.971429
2.625,2512.457143,5.375,3465.028571,18.125,1940.914286,10.9375,2512.457143
1.6875,2417.2,1.5,3179.257143,12.8125,1589.077419,18.9375,2988.742857
6.3125,2607.714286,2.875,3369.771429,14.1875,1750.4,17.0625,2893.485714
3.875,2417.2,2.8125,3560.285714,14.125,1655.142857,12.125,2607.714286
7.25,2512.457143,3.1875,3274.514286,14.875,1750.4,16.6875,2893.485714
5.6875,2417.2,3.0625,3369.771429,12.6875,1655.142857,14.6875,2798.228571
7.3125,2607.714286,3.625,3274.514286,13.8125,1750.4,16.9375,2893.485714
8.0625,2512.457143,5.5625,893.0857143,12.125,1559.885714,18.9375,2893.485714
3.8125,2281.75625,5.75,3369.771429,13.3125,1655.142857,14.1875,2702.971429
6.4375,2512.457143,2.9375,2988.742857,13.625,1750.4,12.25,2607.714286
4.5,2417.2,4.625,3465.028571,15,1750.4,16.125,2798.228571
7.4375,2500.55,4.3125,893.0857143,10.375,1589.077419,13,2607.714286
3.9375,2417.2,4.1875,3369.771429,14.3125,1750.4,18,2798.228571
4.25,2417.2,4.5,3369.771429,15.375,765.5876923,18.6875,2893.485714
5.75,2607.714286,6.75,512.0571429,15.5,1750.4,12.1875,2702.971429
2.75,2321.942857,7.8125,1750.4,13.625,1655.142857,13.25,2702.971429
5.8125,2607.714286,8.5,3655.542857,18.6875,2036.171429,15.25,2798.228571
4.5,2512.457143,6.0625,797.8285714,15.5625,1879.458065,16.6875,2798.228571
2.8125,2417.2,4.625,3369.771429,13.625,797.8285714,16.3125,2798.228571
6.125,2512.457143,3,3274.514286,13.4375,1655.142857,16.0625,2798.228571
4.1875,2512.457143,5.875,3465.028571,15.5,1083.6,15.6875,2798.228571
4.1875,2417.2,5.25,2036.171429,15.125,1750.4,15.5,2798.228571
3.375,2417.2,9.625,3846.057143,13.9375,1655.142857,15.0625,2702.971429
3.5625,2417.2,4.25,2131.428571,14.6875,1750.4,13.5625,2702.971429
5.9375,2512.457143,3.6875,2131.428571,14.9375,1750.4,13.25,2702.971429
6,2512.457143,7.5625,3655.542857,13.75,1655.142857,14.8125,2702.971429
6.125,2607.714286,3.625,1750.4,11.8125,1559.885714,16.125,2847.393548
8.3125,2607.714286,1.1875,3274.514286,11.625,1655.142857,14.5625,2702.971429
6.8125,2607.714286,3,2036.171429,14.6875,1750.4,12.125,2607.714286
4.375,2417.2,7.875,3846.057143,15.0625,1750.4,17.8125,2893.485714
6.125,2512.457143,4.0625,3369.771429,14.25,1655.142857,15.4375,2702.971429
8.125,2489.009231,4.6875,3274.514286,15.3125,1750.4,14.0625,2702.971429
5,2417.2,1.4375,3179.257143,15.125,1750.4,15.625,2798.228571
4.25,2417.2,3.1875,3274.514286,15.4375,1845.657143,18.375,2798.228571
5.5,2512.457143,5,2131.428571,14.8125,1750.4,11.3125,2607.714286
6.1875,2607.714286,3.8125,3274.514286,13.625,1750.4,15.625,2798.228571
3.4375,2417.2,5.6875,3465.028571,10.5,1559.885714,13.375,2702.971429
4.1875,2321.942857,3.375,1008.316129,12.6875,1655.142857,15.9375,2798.228571
4.5625,2512.457143,7.125,2798.228571,12.875,1655.142857,18.875,2988.742857
5.875,2607.714286,6.8125,1464.628571,15.125,580.9353846,12.5625,2607.714286
3,2417.2,3.0625,3369.771429,13.625,1655.142857,18.4375,2889.089231
4.875,2512.457143,3.125,1750.4,13.375,1655.142857,15.4375,2798.228571
7.375,2607.714286,1.3125,3274.514286,15.9375,1845.657143,17.625,2893.485714
4.25,2226.685714,5.0625,2131.428571,15.0625,1655.142857,17.125,2798.228571
4.3125,2512.457143,1.625,3179.257143,15,1750.4,15.875,2798.228571
5.5,2417.2,2.0625,3274.514286,16,1845.657143,12.5625,2702.971429
4.8125,2512.457143,3.9375,702.5714286,12.0625,1559.885714,16.25,2702.971429
8,2512.457143,5.625,2036.171429,15.4375,1750.4,15.3125,2798.228571
6.1875,2512.457143,3.375,3274.514286,12.1875,1655.142857,13,2702.971429
4.5625,2226.685714,3.625,3369.771429,12.1875,1655.142857,18.125,2798.228571
5.3125,2512.457143,5.75,3560.285714,15.3125,1750.4,11.25,2607.714286
2.875,2417.2,4.375,3369.771429,16,1845.657143,16,2798.228571
9.3125,2519.784615,3.5625,3750.8,15.5625,1750.4,9.375,2512.457143
5.5625,2417.2,7.8125,1178.857143,14.4375,1750.4,10.75,2607.714286
3.3125,2512.457143,4.25,3465.028571,14.625,1750.4,17.4375,2893.485714
6.0625,2417.2,7.6875,3846.057143,13.375,1655.142857,14.8125,2702.971429
5.125,2512.457143,6.4375,3846.057143,10.6875,1559.885714,12.25,2607.714286
5.75,2512.457143,5.125,1655.142857,12.5,1655.142857,13.5625,2607.714286
4.1875,2512.457143,1.375,3274.514286,13.0625,1655.142857,13.375,2607.714286
4.6875,2417.2,1,3274.514286,11.625,1559.885714,17.625,2893.485714
7.125,2702.971429,1.375,3219.44375,12.4375,1655.142857,13.25,2702.971429
3.3125,2417.2,3.125,3465.028571,14.1875,1750.4,17.8125,2893.485714
5.9375,2512.457143,2.125,3274.514286,11.375,1655.142857,15.9375,2798.228571
7.1875,2321.942857,6.1875,1655.142857,11.125,1559.885714,15.5,2750.6
3.8125,2321.942857,1.25,3084,18.25,1940.914286,17.875,2893.485714
3,2365.907692,5.3125,2131.428571,12.0625,1559.885714,16.125,2798.228571
5.5625,2512.457143,6.1875,3465.028571,12.625,1655.142857,18.125,2893.485714
5,2607.714286,1.8125,3369.771429,13.1875,1655.142857,13.375,2702.971429
4.125,2321.942857,5.875,3369.771429,14.375,1655.142857,17.25,2893.485714
3.5,2417.2,1.4375,3179.257143,12.0625,1655.142857,9.9375,2512.457143
3.5625,2417.2,1.125,3274.514286,14.875,1750.4,11.375,2607.714286
2.3125,2417.2,8.4375,3846.057143,11.125,1559.885714,14.5,2702.971429
5.4375,2226.685714,1.5625,3274.514286,12.625,1655.142857,16.875,2893.485714
5.8125,2321.942857,4.0625,1750.4,15.4375,1750.4,18.4375,2893.485714
5,2417.2,4.5,893.0857143,15.6875,1750.4,13.9375,2702.971429
3.5625,2417.2,5.6875,2131.428571,12,1625.375,15.5625,2708.925
6.8125,2607.714286,9.25,797.8285714,14.75,1655.142857,17.125,2798.228571
4.9375,2512.457143,5.9375,2131.428571,15,1750.4,11.75,2607.714286
5.875,2417.2,5.3125,3465.028571,17.1875,1845.657143,15.5625,2798.228571
4.4375,2226.685714,6.0625,1845.657143,12.375,1655.142857,18.4375,2893.485714
4.5,2512.457143,3.9375,3465.028571,15.625,1750.4,12.125,2702.971429
3.5625,2512.457143,9.1875,1083.6,13.1875,1685.870968,14.9375,2798.228571
5.4375,2512.457143,6.0625,1369.371429,13.1875,1685.870968,18.5,2893.485714
3.625,2417.2,8.0625,607.3142857,14.1875,1750.4,16.5,2798.228571
5.4375,2512.457143,6.0625,3560.285714,15.625,1750.4,16.625,2798.228571
7.3125,2607.714286,8.125,1655.142857,13.8125,1655.142857,11.0625,2607.714286
3.75,2321.942857,2.6875,1655.142857,13.375,1750.4,18.0625,2702.971429
6.375,2512.457143,6.4375,1589.077419,10.5625,1559.885714,17.9375,2893.485714
4.9375,2417.2,9.5,2131.428571,12.6875,1655.142857,15.1875,2798.228571
4.5625,2512.457143,5.625,3560.285714,13.875,1178.857143,16.9375,2798.228571
6.25,2417.2,4.625,2798.228571,18.5625,1940.914286,17.9375,2893.485714
5.5625,2512.457143,4,3369.771429,16.375,1750.4,13,2563.0625
4.375,2226.685714,4.3125,3465.028571,13.3125,1655.142857,16.3125,2798.228571
7.625,2512.457143,4.5,988.3428571,15.1875,1750.4,14.6875,2798.228571
5.375,2417.2,1.3125,3179.257143,14.875,1688.849231,13.25,2702.971429
6.25,2512.457143,4.375,2036.171429,18.5,1940.914286,16.3125,2798.228571
3.875,2417.2,7.75,607.3142857,14.5625,1708.725,15.5625,2702.971429
6.5,2607.714286,6.375,1178.857143,14.8125,893.0857143,18.125,2893.485714
4.375,2417.2,7.4375,1655.142857,14.125,1655.142857,16.9375,2798.228571
6.4375,2321.942857,7.4375,3465.028571,14.4375,1083.6,15.8125,2702.971429
3.375,2417.2,2.875,3369.771429,12,1559.885714,16.625,2798.228571
7.25,2512.457143,5.25,3465.028571,13.125,1655.142857,16.5,2798.228571
4.0625,2512.457143,5.1875,1369.371429,15,1655.142857,18.25,2893.485714
8.9375,2653.806452,6.125,3084,13.9375,1655.142857,18.4375,2893.485714
6.125,2607.714286,7.5625,3941.314286,14.125,1750.4,12.8125,2607.714286
7.5,2321.942857,3.1875,3465.028571,15.125,988.3428571,17.9375,2893.485714
3.9375,2417.2,9.625,3846.057143,14.25,1655.142857,13.875,2702.971429
6.5625,2607.714286,3.25,3274.514286,12.75,1559.885714,16.6875,2798.228571
7.4375,2512.457143,8.625,512.0571429,11.9375,1655.142857,13.5,2702.971429
7.4375,2512.457143,4.25,3274.514286,18.125,1940.914286,15.5,2798.228571
5.4375,2512.457143,4.0625,3369.771429,15.25,1750.4,17.875,2798.228571
5.25,2512.457143,4.9375,3465.028571,18.1875,1940.914286,15.875,2798.228571
2.625,2321.942857,2.5625,3369.771429,13.25,1655.142857,18.375,2893.485714
3,2321.942857,5.375,512.0571429,14.0625,1750.4,17.9375,2798.228571
6,2607.714286,3.5,3369.771429,12.25,1559.885714,11.8125,2607.714286
4.1875,2512.457143,3.0625,3369.771429,15.0625,1750.4,12.875,2607.714286
7.1875,2512.457143,3.4375,3179.257143,14.25,1750.4,15.1875,2417.2
6.4375,2417.2,4.3125,1395.490323,11.625,1559.885714,11,2607.714286
8.1875,2702.971429,6.5,2131.428571,13.25,1655.142857,11.5,2607.714286
6.375,2563.0625,3,3369.771429,12.5,1655.142857,18.0625,2321.942857
5.75,2321.942857,3.4375,3274.514286,11.8125,1559.885714,14.5625,2798.228571
4.1875,2512.457143,3.0625,3465.028571,11.875,1655.142857,16.1875,2798.228571
3.9375,2417.2,4.9375,988.3428571,16.0625,1845.657143,18.8125,2944.187097
3.4375,2417.2,7.875,1625.375,17.1875,1845.657143,15.625,2702.971429
5.0625,2417.2,5.1875,1464.628571,14.25,1655.142857,14.125,2702.971429
4.75,2226.685714,2.125,3369.771429,14.6875,1750.4,17.25,2893.485714
5.6875,2512.457143,6.125,3465.028571,15.5,1750.4,16.875,2798.228571