"htg_pl_x","htg_pl_y","htg_fl_x","htg_fl_y","clg_pl_x","clg_pl_y","clg_fl_x","clg_fl_y"
"2.625","2512.45714286","1.3125","3179.25714285999","11.8125","1655.14285713999","17.8125","2893.48571429"
"6.875","2512.45714286","3.75","3179.25714285999","13.8125","1655.14285713999","15.5625","2798.22857143"
"5.9375","2607.71428570999","2.375","3369.77142856999","12.625","1589.07741934999","15.9375","2798.22857143"
"5.0","2607.71428570999","6.875","3560.28571429","11.5","1655.14285713999","16.3125","2798.22857143"
"3.5","2417.19999999999","5.25","3465.02857142999","14.0","988.342857139999","15.0625","2798.22857143"
"5.0","2417.19999999999","5.5","2036.17142856999","14.125","1750.4","13.4375","2702.97142857"
"5.875","2417.19999999999","4.4375","1464.62857142999","14.25","1655.14285713999","16.9375","2798.22857143"
"7.0","2417.19999999999","4.75","3465.02857142999","11.4375","1655.14285713999","17.8125","2893.48571429"
"6.875","2512.45714286","5.9375","1464.62857142999","13.0625","1655.14285713999","18.0625","2798.22857143"
"5.375","2417.19999999999","9.8125","3941.31428571","11.4375","1559.88571428999","17.3125","2893.48571429"
"5.375","2512.45714286","5.3125","1369.37142857","12.9375","1655.14285713999","13.875","2702.97142857"
"8.0625","2607.71428570999","4.5625","3369.77142856999","15.6875","1750.4","13.0625","2798.22857143"
"2.6875","2417.19999999999","5.5625","3465.02857142999","14.125","1750.4","17.5625","2893.48571429"
"7.5625","2417.19999999999","6.0625","3560.28571429","12.375","1655.14285713999","16.625","2893.48571429"
"3.8125","2417.19999999999","7.4375","512.057142856999","13.125","1685.87096773999","18.625","2893.48571429"
"5.1875","2512.45714286","2.9375","3274.51428570999","14.25","1708.72499999999","14.25","2702.97142857"
"3.8125","2512.45714286","14.1875","2131.42857142999","11.1875","1655.14285713999","15.375","2798.22857143"
"4.0625","2512.45714286","3.8125","1940.91428571","13.375","1750.4","17.4375","2893.48571429"
"5.125","2417.19999999999","5.0","3369.77142856999","12.25","1655.14285713999","12.8125","2607.71428570999"
"5.375","2321.94285713999","8.5625","1369.37142857","14.25","1750.4","15.875","2798.22857143"
"4.3125","2512.45714286","7.5","3846.05714285999","14.8125","1750.4","17.0625","2798.22857143"
"9.0","2417.19999999999","1.625","3179.25714285999","14.875","702.571428571","14.5625","2702.97142857"
"5.1875","2512.45714286","3.0625","3465.02857142999","13.0","1655.14285713999","18.0625","2893.48571429"
"7.9375","2607.71428570999","5.125","3369.77142856999","12.625","1559.88571428999","14.1875","2798.22857143"
"6.5625","2512.45714286","4.0","1083.59999999999","18.0625","1845.65714286","12.0","2702.97142857"
"4.5625","2607.71428570999","6.25","3655.54285713999","14.25","1369.37142857","14.4375","2653.80645160999"
"8.5625","2607.71428570999","6.3125","2036.17142856999","15.8125","1845.65714286","15.625","2798.22857143"
"8.875","2702.97142857","3.375","3369.77142856999","9.75","1559.88571428999","13.875","2702.97142857"
"5.1875","2607.71428570999","2.6875","3369.77142856999","14.5625","1750.4","14.9375","2798.22857143"
"7.9375","2607.71428570999","5.4375","1274.11428571","12.875","1655.14285713999","18.0625","2893.48571429"
"7.0","2321.94285713999","6.5625","2131.42857142999","13.125","1655.14285713999","15.5","2702.97142857"
"3.0625","2417.19999999999","7.9375","1965.82769231","13.8125","1750.4","16.9375","2798.22857143"
"4.9375","2512.45714286","5.375","2187.9875","13.6875","1750.4","16.5","2798.22857143"
"2.3125","2417.19999999999","4.125","893.085714289999","11.625","1655.14285713999","17.1875","2893.48571429"
"4.6875","2512.45714286","6.8125","1845.65714286","14.1875","1750.4","11.5625","2607.71428570999"
"7.3125","2512.45714286","8.1875","2750.59999999999","16.0625","1845.65714286","16.3125","2798.22857143"
"8.6875","2417.19999999999","0.875","3274.51428570999","13.9375","1750.4","17.8125","2893.48571429"
"6.1875","2417.19999999999","0.9375","3274.51428570999","16.125","1750.4","16.5","2798.22857143"
"4.4375","2417.19999999999","10.125","2201.19436619999","15.625","1750.4","16.8125","2893.48571429"
"4.25","2512.45714286","2.75","3369.77142856999","14.75","1750.4","17.625","2893.48571429"
"6.1875","2512.45714286","5.125","2036.17142856999","14.25","1750.4","18.625","2893.48571429"
"5.6875","2321.94285713999","4.375","3560.28571429","13.9375","1750.4","16.3125","5322.54285713999"
"2.75","2417.19999999999","3.125","4722.42285713999","13.25","1750.4","16.875","2798.22857143"
"5.3125","2512.45714286","5.3125","1845.65714286","14.5625","1845.65714286","14.6875","2702.97142857"
"5.5625","2512.45714286","3.0625","3465.02857142999","15.0","1750.4","18.0","2893.48571429"
"4.4375","2607.71428570999","6.4375","797.82857143","13.375","1655.14285713999","16.25","2702.97142857"
"4.875","2321.94285713999","2.1875","3274.51428570999","15.125","1750.4","13.4375","2702.97142857"
"4.8125","2417.19999999999","5.3125","3560.28571429","14.0","1750.4","16.9375","2798.22857143"
"3.1875","2396.68307692","3.625","3369.77142856999","14.125","1750.4","12.5","2607.71428570999"
"4.4375","2417.19999999999","6.9375","3846.05714285999","12.5","1655.14285713999","10.4375","2607.71428570999"
"1.25","2365.90769231","3.0625","3274.51428570999","14.375","1655.14285713999","11.875","2607.71428570999"
"4.25","2512.45714286","3.1875","3274.51428570999","14.0","1655.14285713999","15.5","2798.22857143"
"7.1875","2512.45714286","6.0","893.085714289999","16.5625","1750.4","17.625","2798.22857143"
"4.0","2417.19999999999","4.0625","3465.02857142999","12.0","1655.14285713999","10.5","2607.71428570999"
"7.75","2512.45714286","4.375","3274.51428570999","13.8125","1655.14285713999","17.0","2893.48571429"
"4.9375","2417.19999999999","6.0625","893.085714289999","13.0","1655.14285713999","13.375","2702.97142857"
"1.3125","2417.19999999999","5.9375","3560.28571429","12.5","1655.14285713999","14.625","2702.97142857"
"5.375","2607.71428570999","3.6875","3369.77142856999","14.0625","1750.4","13.9375","2704.43692307999"
"4.3125","2417.19999999999","3.5625","1940.91428571","14.9375","1750.4","17.125","2798.22857143"
"5.3125","2607.71428570999","3.3125","3274.51428570999","11.6875","1655.14285713999","13.4375","2642.88615385"
"4.625","2417.19999999999","5.5","3465.02857142999","14.1875","1750.4","18.25","2798.22857143"
"3.1875","2417.19999999999","4.625","2036.17142856999","10.0625","1559.88571428999","13.5","2702.97142857"
"6.5","2557.01290323","2.25","3274.51428570999","16.0","1104.11692308","15.0","2702.97142857"
"3.9375","2417.19999999999","4.5625","3465.02857142999","11.25","1655.14285713999","14.375","2750.59999999999"
"7.1875","2512.45714286","3.9375","3369.77142856999","14.3125","1655.14285713999","18.8125","2893.48571429"
"6.625","2417.19999999999","3.375","3274.51428570999","14.0625","1655.14285713999","15.5","2798.22857143"
"5.125","2512.45714286","4.5625","1369.37142857","11.25","1655.14285713999","15.375","2798.22857143"
"5.375","2321.94285713999","1.125","3274.51428570999","13.4375","1655.14285713999","14.5625","2702.97142857"
"5.1875","2512.45714286","8.8125","1750.4","14.0","1750.4","16.75","2750.59999999999"
"6.0","2512.45714286","3.5","3369.77142856999","11.625","1559.88571428999","15.5","2702.97142857"
"9.3125","2512.45714286","5.5625","1178.85714286","14.8125","1655.14285713999","13.8125","2702.97142857"
"7.0625","2321.94285713999","2.0","3274.51428570999","15.0625","1750.4","17.5625","2798.22857143"
"6.3125","2512.45714286","1.5625","3227.61846154","18.25","1845.65714286","15.0","2702.97142857"
"2.625","2512.45714286","5.375","3465.02857142999","18.125","1940.91428571","10.9375","2512.45714286"
"1.6875","2417.19999999999","1.5","3179.25714285999","12.8125","1589.07741934999","18.9375","2988.74285714"
"6.3125","2607.71428570999","2.875","3369.77142856999","14.1875","1750.4","17.0625","2893.48571429"
"3.875","2417.19999999999","2.8125","3560.28571429","14.125","1655.14285713999","12.125","2607.71428570999"
"7.25","2512.45714286","3.1875","3274.51428570999","14.875","1750.4","16.6875","2893.48571429"
"5.6875","2417.19999999999","3.0625","3369.77142856999","12.6875","1655.14285713999","14.6875","2798.22857143"
"7.3125","2607.71428570999","3.625","3274.51428570999","13.8125","1750.4","16.9375","2893.48571429"
"8.0625","2512.45714286","5.5625","893.085714289999","12.125","1559.88571428999","18.9375","2893.48571429"
"3.8125","2281.75624999999","5.75","3369.77142856999","13.3125","1655.14285713999","14.1875","2702.97142857"
"6.4375","2512.45714286","2.9375","2988.74285714","13.625","1750.4","12.25","2607.71428570999"
"4.5","2417.19999999999","4.625","3465.02857142999","15.0","1750.4","16.125","2798.22857143"
"7.4375","2500.55","4.3125","893.085714289999","10.375","1589.07741934999","13.0","2607.71428570999"
"3.9375","2417.19999999999","4.1875","3369.77142856999","14.3125","1750.4","18.0","2798.22857143"
"4.25","2417.19999999999","4.5","3369.77142856999","15.375","765.587692309999","18.6875","2893.48571429"
"5.75","2607.71428570999","6.75","512.057142856999","15.5","1750.4","12.1875","2702.97142857"
"2.75","2321.94285713999","7.8125","1750.4","13.625","1655.14285713999","13.25","2702.97142857"
"5.8125","2607.71428570999","8.5","3655.54285713999","18.6875","2036.17142856999","15.25","2798.22857143"
"4.5","2512.45714286","6.0625","797.82857143","15.5625","1879.45806451999","16.6875","2798.22857143"
"2.8125","2417.19999999999","4.625","3369.77142856999","13.625","797.82857143","16.3125","2798.22857143"
"6.125","2512.45714286","3.0","3274.51428570999","13.4375","1655.14285713999","16.0625","2798.22857143"
"4.1875","2512.45714286","5.875","3465.02857142999","15.5","1083.59999999999","15.6875","2798.22857143"
"4.1875","2417.19999999999","5.25","2036.17142856999","15.125","1750.4","15.5","2798.22857143"
"3.375","2417.19999999999","9.625","3846.05714285999","13.9375","1655.14285713999","15.0625","2702.97142857"
"3.5625","2417.19999999999","4.25","2131.42857142999","14.6875","1750.4","13.5625","2702.97142857"
"5.9375","2512.45714286","3.6875","2131.42857142999","14.9375","1750.4","13.25","2702.97142857"
"6.0","2512.45714286","7.5625","3655.54285713999","13.75","1655.14285713999","14.8125","2702.97142857"
"6.125","2607.71428570999","3.625","1750.4","11.8125","1559.88571428999","16.125","2847.39354838999"
"8.3125","2607.71428570999","1.1875","3274.51428570999","11.625","1655.14285713999","14.5625","2702.97142857"
"6.8125","2607.71428570999","3.0","2036.17142856999","14.6875","1750.4","12.125","2607.71428570999"
"4.375","2417.19999999999","7.875","3846.05714285999","15.0625","1750.4","17.8125","2893.48571429"
"6.125","2512.45714286","4.0625","3369.77142856999","14.25","1655.14285713999","15.4375","2702.97142857"
"8.125","2489.00923077","4.6875","3274.51428570999","15.3125","1750.4","14.0625","2702.97142857"
"5.0","2417.19999999999","1.4375","3179.25714285999","15.125","1750.4","15.625","2798.22857143"
"4.25","2417.19999999999","3.1875","3274.51428570999","15.4375","1845.65714286","18.375","2798.22857143"
"5.5","2512.45714286","5.0","2131.42857142999","14.8125","1750.4","11.3125","2607.71428570999"
"6.1875","2607.71428570999","3.8125","3274.51428570999","13.625","1750.4","15.625","2798.22857143"
"3.4375","2417.19999999999","5.6875","3465.02857142999","10.5","1559.88571428999","13.375","2702.97142857"
"4.1875","2321.94285713999","3.375","1008.31612902999","12.6875","1655.14285713999","15.9375","2798.22857143"
"4.5625","2512.45714286","7.125","2798.22857143","12.875","1655.14285713999","18.875","2988.74285714"
"5.875","2607.71428570999","6.8125","1464.62857142999","15.125","580.935384614999","12.5625","2607.71428570999"
"3.0","2417.19999999999","3.0625","3369.77142856999","13.625","1655.14285713999","18.4375","2889.08923077"
"4.875","2512.45714286","3.125","1750.4","13.375","1655.14285713999","15.4375","2798.22857143"
"7.375","2607.71428570999","1.3125","3274.51428570999","15.9375","1845.65714286","17.625","2893.48571429"
"4.25","2226.68571428999","5.0625","2131.42857142999","15.0625","1655.14285713999","17.125","2798.22857143"
"4.3125","2512.45714286","1.625","3179.25714285999","15.0","1750.4","15.875","2798.22857143"
"5.5","2417.19999999999","2.0625","3274.51428570999","16.0","1845.65714286","12.5625","2702.97142857"
"4.8125","2512.45714286","3.9375","702.571428571","12.0625","1559.88571428999","16.25","2702.97142857"
"8.0","2512.45714286","5.625","2036.17142856999","15.4375","1750.4","15.3125","2798.22857143"
"6.1875","2512.45714286","3.375","3274.51428570999","12.1875","1655.14285713999","13.0","2702.97142857"
"4.5625","2226.68571428999","3.625","3369.77142856999","12.1875","1655.14285713999","18.125","2798.22857143"
"5.3125","2512.45714286","5.75","3560.28571429","15.3125","1750.4","11.25","2607.71428570999"
"2.875","2417.19999999999","4.375","3369.77142856999","16.0","1845.65714286","16.0","2798.22857143"
"9.3125","2519.78461538","3.5625","3750.8","15.5625","1750.4","9.375","2512.45714286"
"5.5625","2417.19999999999","7.8125","1178.85714286","14.4375","1750.4","10.75","2607.71428570999"
"3.3125","2512.45714286","4.25","3465.02857142999","14.625","1750.4","17.4375","2893.48571429"
"6.0625","2417.19999999999","7.6875","3846.05714285999","13.375","1655.14285713999","14.8125","2702.97142857"
"5.125","2512.45714286","6.4375","3846.05714285999","10.6875","1559.88571428999","12.25","2607.71428570999"
"5.75","2512.45714286","5.125","1655.14285713999","12.5","1655.14285713999","13.5625","2607.71428570999"
"4.1875","2512.45714286","1.375","3274.51428570999","13.0625","1655.14285713999","13.375","2607.71428570999"
"4.6875","2417.19999999999","1.0","3274.51428570999","11.625","1559.88571428999","17.625","2893.48571429"
"7.125","2702.97142857","1.375","3219.44374999999","12.4375","1655.14285713999","13.25","2702.97142857"
"3.3125","2417.19999999999","3.125","3465.02857142999","14.1875","1750.4","17.8125","2893.48571429"
"5.9375","2512.45714286","2.125","3274.51428570999","11.375","1655.14285713999","15.9375","2798.22857143"
"7.1875","2321.94285713999","6.1875","1655.14285713999","11.125","1559.88571428999","15.5","2750.59999999999"
"3.8125","2321.94285713999","1.25","3084.0","18.25","1940.91428571","17.875","2893.48571429"
"3.0","2365.90769231","5.3125","2131.42857142999","12.0625","1559.88571428999","16.125","2798.22857143"
"5.5625","2512.45714286","6.1875","3465.02857142999","12.625","1655.14285713999","18.125","2893.48571429"
"5.0","2607.71428570999","1.8125","3369.77142856999","13.1875","1655.14285713999","13.375","2702.97142857"
"4.125","2321.94285713999","5.875","3369.77142856999","14.375","1655.14285713999","17.25","2893.48571429"
"3.5","2417.19999999999","1.4375","3179.25714285999","12.0625","1655.14285713999","9.9375","2512.45714286"
"3.5625","2417.19999999999","1.125","3274.51428570999","14.875","1750.4","11.375","2607.71428570999"
"2.3125","2417.19999999999","8.4375","3846.05714285999","11.125","1559.88571428999","14.5","2702.97142857"
"5.4375","2226.68571428999","1.5625","3274.51428570999","12.625","1655.14285713999","16.875","2893.48571429"
"5.8125","2321.94285713999","4.0625","1750.4","15.4375","1750.4","18.4375","2893.48571429"
"5.0","2417.19999999999","4.5","893.085714289999","15.6875","1750.4","13.9375","2702.97142857"
"3.5625","2417.19999999999","5.6875","2131.42857142999","12.0","1625.375","15.5625","2708.925"
"6.8125","2607.71428570999","9.25","797.82857143","14.75","1655.14285713999","17.125","2798.22857143"
"4.9375","2512.45714286","5.9375","2131.42857142999","15.0","1750.4","11.75","2607.71428570999"
"5.875","2417.19999999999","5.3125","3465.02857142999","17.1875","1845.65714286","15.5625","2798.22857143"
"4.4375","2226.68571428999","6.0625","1845.65714286","12.375","1655.14285713999","18.4375","2893.48571429"
"4.5","2512.45714286","3.9375","3465.02857142999","15.625","1750.4","12.125","2702.97142857"
"3.5625","2512.45714286","9.1875","1083.59999999999","13.1875","1685.87096773999","14.9375","2798.22857143"
"5.4375","2512.45714286","6.0625","1369.37142857","13.1875","1685.87096773999","18.5","2893.48571429"
"3.625","2417.19999999999","8.0625","607.314285713999","14.1875","1750.4","16.5","2798.22857143"
"5.4375","2512.45714286","6.0625","3560.28571429","15.625","1750.4","16.625","2798.22857143"
"7.3125","2607.71428570999","8.125","1655.14285713999","13.8125","1655.14285713999","11.0625","2607.71428570999"
"3.75","2321.94285713999","2.6875","1655.14285713999","13.375","1750.4","18.0625","2702.97142857"
"6.375","2512.45714286","6.4375","1589.07741934999","10.5625","1559.88571428999","17.9375","2893.48571429"
"4.9375","2417.19999999999","9.5","2131.42857142999","12.6875","1655.14285713999","15.1875","2798.22857143"
"4.5625","2512.45714286","5.625","3560.28571429","13.875","1178.85714286","16.9375","2798.22857143"
"6.25","2417.19999999999","4.625","2798.22857143","18.5625","1940.91428571","17.9375","2893.48571429"
"5.5625","2512.45714286","4.0","3369.77142856999","16.375","1750.4","13.0","2563.0625"
"4.375","2226.68571428999","4.3125","3465.02857142999","13.3125","1655.14285713999","16.3125","2798.22857143"
"7.625","2512.45714286","4.5","988.342857139999","15.1875","1750.4","14.6875","2798.22857143"
"5.375","2417.19999999999","1.3125","3179.25714285999","14.875","1688.84923077","13.25","2702.97142857"
"6.25","2512.45714286","4.375","2036.17142856999","18.5","1940.91428571","16.3125","2798.22857143"
"3.875","2417.19999999999","7.75","607.314285713999","14.5625","1708.72499999999","15.5625","2702.97142857"
"6.5","2607.71428570999","6.375","1178.85714286","14.8125","893.085714289999","18.125","2893.48571429"
"4.375","2417.19999999999","7.4375","1655.14285713999","14.125","1655.14285713999","16.9375","2798.22857143"
"6.4375","2321.94285713999","7.4375","3465.02857142999","14.4375","1083.59999999999","15.8125","2702.97142857"
"3.375","2417.19999999999","2.875","3369.77142856999","12.0","1559.88571428999","16.625","2798.22857143"
"7.25","2512.45714286","5.25","3465.02857142999","13.125","1655.14285713999","16.5","2798.22857143"
"4.0625","2512.45714286","5.1875","1369.37142857","15.0","1655.14285713999","18.25","2893.48571429"
"8.9375","2653.80645160999","6.125","3084.0","13.9375","1655.14285713999","18.4375","2893.48571429"
"6.125","2607.71428570999","7.5625","3941.31428571","14.125","1750.4","12.8125","2607.71428570999"
"7.5","2321.94285713999","3.1875","3465.02857142999","15.125","988.342857139999","17.9375","2893.48571429"
"3.9375","2417.19999999999","9.625","3846.05714285999","14.25","1655.14285713999","13.875","2702.97142857"
"6.5625","2607.71428570999","3.25","3274.51428570999","12.75","1559.88571428999","16.6875","2798.22857143"
"7.4375","2512.45714286","8.625","512.057142856999","11.9375","1655.14285713999","13.5","2702.97142857"
"7.4375","2512.45714286","4.25","3274.51428570999","18.125","1940.91428571","15.5","2798.22857143"
"5.4375","2512.45714286","4.0625","3369.77142856999","15.25","1750.4","17.875","2798.22857143"
"5.25","2512.45714286","4.9375","3465.02857142999","18.1875","1940.91428571","15.875","2798.22857143"
"2.625","2321.94285713999","2.5625","3369.77142856999","13.25","1655.14285713999","18.375","2893.48571429"
"3.0","2321.94285713999","5.375","512.057142856999","14.0625","1750.4","17.9375","2798.22857143"
"6.0","2607.71428570999","3.5","3369.77142856999","12.25","1559.88571428999","11.8125","2607.71428570999"
"4.1875","2512.45714286","3.0625","3369.77142856999","15.0625","1750.4","12.875","2607.71428570999"
"7.1875","2512.45714286","3.4375","3179.25714285999","14.25","1750.4","15.1875","2417.19999999999"
"6.4375","2417.19999999999","4.3125","1395.49032258","11.625","1559.88571428999","11.0","2607.71428570999"
"8.1875","2702.97142857","6.5","2131.42857142999","13.25","1655.14285713999","11.5","2607.71428570999"
"6.375","2563.0625","3.0","3369.77142856999","12.5","1655.14285713999","18.0625","2321.94285713999"
"5.75","2321.94285713999","3.4375","3274.51428570999","11.8125","1559.88571428999","14.5625","2798.22857143"
"4.1875","2512.45714286","3.0625","3465.02857142999","11.875","1655.14285713999","16.1875","2798.22857143"
"3.9375","2417.19999999999","4.9375","988.342857139999","16.0625","1845.65714286","18.8125","2944.18709677"
"3.4375","2417.19999999999","7.875","1625.375","17.1875","1845.65714286","15.625","2702.97142857"
"5.0625","2417.19999999999","5.1875","1464.62857142999","14.25","1655.14285713999","14.125","2702.97142857"
"4.75","2226.68571428999","2.125","3369.77142856999","14.6875","1750.4","17.25","2893.48571429"
"5.6875","2512.45714286","6.125","3465.02857142999","15.5","1750.4","16.875","2798.22857143"
